Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1µ,C_0603_1608Metric,146.5,-98.99,0.0,top
C10,10µ,C_0603_1608Metric,110.0,-94.5,0.0,top
C2,0.1µ,C_0603_1608Metric,115.1125,-113.025,0.0,top
C5,10µ,C_0603_1608Metric,115.1125,-115.535,0.0,top
C6,10µ,C_0603_1608Metric,119.7025,-83.0,0.0,top
C7,10µ,C_0603_1608Metric,142.765,-105.5,0.0,top
C8,4.7µ,C_0603_1608Metric,152.5,-89.28,0.0,top
C9,4.7µ,C_0603_1608Metric,152.775,-84.5,0.0,top
J1,Conn_01x02,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,105.5,-114.55,0.0,top
J2,Conn_02x16_Top_Bottom,PinHeader_2x16_P2.00mm_Vertical,128.0,-122.0,90.0,top
J3,USB_C_Receptacle_PowerOnly_6P,USB_C_Receptacle_CNCTech_C-ARA1-AK51X,93.6,-84.165,0.0,top
L1,227µ,L_0603_1608Metric,123.7125,-83.0,0.0,top
Q1,AO3401CI-ES,SOT-23,121.0625,-91.5,0.0,top
Q3,2N7002,SOT-23,107.0,-103.0,0.0,top
R1,0.5,C_0603_1608Metric,146.775,-105.5,0.0,top
R10,0.5,R_Shunt_Vishay_WSK2512_6332Metric_T2.21mm,138.5,-94.0,0.0,top
R11,6K,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,161.69,-83.4,0.0,top
R12,2K,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,161.5,-88.35,0.0,top
R13,4K,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,161.5,-92.4,0.0,top
R14,100K,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,161.5,-96.45,0.0,top
R15,100K,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,161.5,-100.5,0.0,top
R16,4.7K,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,161.5,-104.55,0.0,top
R17,4.7K,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,161.5,-108.6,0.0,top
R2,0.5,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,94.0,-94.5,0.0,top
R3,0.5,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,94.19,-98.3,0.0,top
R4,0.5,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,94.19,-102.35,0.0,top
R5,5.1K,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,94.19,-106.4,0.0,top
R6,5.1K,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,94.19,-110.45,0.0,top
R7,1M,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,94.19,-114.5,0.0,top
R8,10K,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,94.0,-119.0,0.0,top
R9,0.15,R_Shunt_Vishay_WSK2512_6332Metric_T2.21mm,131.98,-83.135,0.0,top
SW1,SW_Wuerth_450301014042,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,120.46,-106.0,0.0,top
U1,INA219AIDCNR,SOT-23-8,142.3625,-88.525,0.0,top
U10,AP22804AW5,SOT-23-5,105.0,-96.5,0.0,top
U2,DRV8833PWP,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,115.3625,-113.025,0.0,top
U3,DRV8833PWP,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,142.75,-113.5,180.0,top
U4,BQ24075RGTR,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,148.0625,-93.25,0.0,top
U5,AMS1117CD-3.3,TO-252-3_TabPin2,115.295,-99.2975,0.0,top
U5,AMS1117CD-3.3,TO-252-3_TabPin2,134.225,-103.475,0.0,top
U6,TP4056-42-ESOP8,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,142.6375,-80.95,0.0,top
U6,TP4056-42-ESOP8,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,127.7,-113.2,0.0,top
U7,TPS62160DSGR,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,130.0,-93.5,0.0,top
U7,TPS62160DSGR,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,142.0,-86.0,0.0,top
U8,CH224K,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,106.3625,-83.0,0.0,top
U9,MT3608L,SOT-23-6,123.3625,-99.0,0.0,top
