Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,0.1µ,C1525
"C10, C6, C7",0603,3,10µ,
C2,0603,1,0.1µ,
C5,0603,1,10µ,C19702
C8,0603,1,4.7µ,C19666
C9,0603,1,4.7µ,
J1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Conn_01x02,
J2,PinHeader_2x16_P2.00mm_Vertical,1,Conn_02x16_Top_Bottom,C339450
J3,USB_C_Receptacle_CNCTech_C-ARA1-AK51X,1,USB_C_Receptacle_PowerOnly_6P,C393939
L1,0603,1,227µ,C10151
Q1,SOT-23,1,AO3401CI-ES,C21713833
Q3,SOT-23,1,2N7002,C8545
R1,0603,1,0.5,C459677
R10,R_Shunt_Vishay_WSK2512_6332Metric_T2.21mm,1,0.5,C459677
R11,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,6K,C23189
R12,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,2K,C22975
R13,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,4K,C22978
"R14, R15",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,100K,C25803
"R16, R17",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,4.7K,C23162
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,0.5,C2934369
"R3, R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,0.5,
"R5, R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,5.1K,C23186
R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1M,C22935
R8,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,10K,C25804
R9,R_Shunt_Vishay_WSK2512_6332Metric_T2.21mm,1,0.15,C169881
SW1,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,1,SW_Wuerth_450301014042,C6558197
"TP1, TP10, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D2.5mm,10,TestPoint,
U1,SOT-23-8,1,INA219AIDCNR,C87469
U10,SOT-23-5,1,AP22804AW5,C3001659
"U2, U3",HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,2,DRV8833PWP,C50506
U4,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24075RGTR,C15464
U5_2,Texas_REF0038A_WQFN-38-2EP_6x4mm_P0.4,1,TPS25730DREFR,C347249
U5,TO-252-3_TabPin2,1,AMS1117CD-3.3,
U6_2,SOT-23-6,1,TPS22929DDBVR,C16581
U6,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056-42-ESOP8,
U7_2,SOT-23-5,1,AP22804AW5,C324077
U7,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,1,TPS62160DSGR,
U8,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,1,CH224K,C970725
U9,SOT-23-6,1,MT3608L,C2932326
