Designator,Mid X,Mid Y,Rotation,Layer
C1,146.5,-98.99,0.0,top
C10,110.0,-94.5,0.0,top
C2,115.1125,-113.025,0.0,top
C5,115.1125,-115.535,0.0,top
C6,119.7025,-83.0,0.0,top
C7,142.765,-105.5,0.0,top
C8,152.5,-89.28,0.0,top
C9,152.775,-84.5,0.0,top
J1,105.5,-114.55,180.0,top
J2,128.0,-122.0,90.0,top
J3,93.6,-84.8,0.0,top
L1,123.7125,-83.0,0.0,top
Q1,121.0625,-91.5,180.0,top
Q3,107.0,-103.0,180.0,top
R1,146.775,-105.5,0.0,top
R10,138.5,-94.0,0.0,top
R11,161.69,-83.4,0.0,top
R12,161.5,-88.35,0.0,top
R13,161.5,-92.4,0.0,top
R14,161.5,-96.45,0.0,top
R15,161.5,-100.5,0.0,top
R16,161.5,-104.55,0.0,top
R17,161.5,-108.6,0.0,top
R2,94.0,-94.5,0.0,top
R3,94.19,-98.3,0.0,top
R4,94.19,-102.35,0.0,top
R5,94.19,-106.4,0.0,top
R6,94.19,-110.45,0.0,top
R7,94.19,-114.5,0.0,top
R8,94.0,-119.0,0.0,top
R9,131.98,-83.135,0.0,top
SW1,120.46,-106.0,0.0,top
U1,142.3625,-88.525,180.0,top
U10,105.0,-96.5,180.0,top
U2,115.3625,-113.025,270.0,top
U3,142.75,-113.5,90.0,top
U4,148.0625,-93.25,0.0,top
U5_2,115.27,-99.31,0.0,top
U5,135.065,-103.475,0.0,top
U6_2,142.6375,-80.95,180.0,top
U6,127.7,-113.2,270.0,top
U7_2,130.0,-93.5,180.0,top
U7,142.0,-86.0,0.0,top
U8,106.3625,-83.0,270.0,top
U9,123.3625,-99.0,180.0,top
